Source;Target;Type;weight
0;1;undirected;1
0;2;undirected;1
0;113;undirected;1
0;164;undirected;1
0;271;undirected;1
0;306;undirected;1
0;352;undirected;1
0;414;undirected;1
0;486;undirected;1
0;555;undirected;1
0;556;undirected;1
0;705;undirected;1
0;716;undirected;1
0;731;undirected;1
0;807;undirected;1
0;810;undirected;1
0;816;undirected;1
0;846;undirected;1
0;909;undirected;1
0;915;undirected;1
0;924;undirected;1
0;934;undirected;1
0;947;undirected;1
0;975;undirected;1
0;1016;undirected;1
0;1142;undirected;1
0;1217;undirected;1
0;1233;undirected;1
0;1283;undirected;1
0;1349;undirected;1
0;1399;undirected;1
0;1443;undirected;1
0;1444;undirected;1
0;1529;undirected;1
1;2;undirected;1
1;33;undirected;2
1;38;undirected;1
1;124;undirected;1
1;141;undirected;1
1;142;undirected;1
1;143;undirected;1
1;144;undirected;1
1;145;undirected;1
1;146;undirected;1
1;147;undirected;1
1;148;undirected;1
1;149;undirected;1
1;150;undirected;1
1;151;undirected;1
1;205;undirected;1
1;232;undirected;1
1;250;undirected;1
1;262;undirected;1
1;277;undirected;1
1;282;undirected;1
1;333;undirected;1
1;364;undirected;1
1;381;undirected;1
1;455;undirected;1
1;549;undirected;1
1;621;undirected;1
1;683;undirected;1
1;727;undirected;1
1;913;undirected;1
1;914;undirected;1
1;915;undirected;1
1;916;undirected;1
1;917;undirected;1
1;918;undirected;1
1;919;undirected;1
1;990;undirected;1
1;1273;undirected;1
1;1304;undirected;1
1;1588;undirected;1
2;23;undirected;1
2;229;undirected;1
2;806;undirected;1
2;884;undirected;1
2;1377;undirected;1
2;1695;undirected;1
2;1858;undirected;1
3;4;undirected;1
3;5;undirected;1
3;6;undirected;1
3;7;undirected;1
3;8;undirected;1
3;56;undirected;1
3;57;undirected;1
3;357;undirected;1
3;430;undirected;1
3;459;undirected;1
3;594;undirected;1
3;766;undirected;1
3;789;undirected;1
3;834;undirected;1
3;1475;undirected;1
3;1505;undirected;1
3;1539;undirected;1
3;1653;undirected;1
4;5;undirected;1
4;6;undirected;1
4;7;undirected;2
4;8;undirected;1
4;55;undirected;1
4;137;undirected;1
4;179;undirected;1
4;192;undirected;1
4;529;undirected;1
4;538;undirected;1
4;581;undirected;1
4;782;undirected;1
4;811;undirected;1
4;925;undirected;1
4;941;undirected;1
4;1071;undirected;1
4;1252;undirected;1
4;1288;undirected;1
4;1525;undirected;1
4;1555;undirected;1
4;1621;undirected;1
4;1852;undirected;1
5;6;undirected;1
5;7;undirected;1
5;8;undirected;1
5;148;undirected;1
5;304;undirected;1
5;402;undirected;1
5;581;undirected;1
5;679;undirected;1
5;850;undirected;1
5;887;undirected;1
5;959;undirected;1
5;1389;undirected;1
6;7;undirected;1
6;8;undirected;1
6;113;undirected;1
6;330;undirected;1
6;811;undirected;1
6;819;undirected;1
6;874;undirected;1
6;1048;undirected;1
6;1051;undirected;1
6;1389;undirected;1
6;1519;undirected;1
7;8;undirected;1
7;470;undirected;1
7;811;undirected;1
7;1163;undirected;1
7;1500;undirected;1
8;352;undirected;1
9;9;undirected;1
9;10;undirected;3
9;11;undirected;1
9;12;undirected;2
9;172;undirected;1
9;259;undirected;1
9;364;undirected;1
9;609;undirected;1
9;614;undirected;1
9;699;undirected;1
9;784;undirected;1
9;810;undirected;1
9;843;undirected;1
9;1301;undirected;1
9;1420;undirected;1
10;9;undirected;1
10;10;undirected;1
10;11;undirected;1
10;12;undirected;1
10;113;undirected;1
10;830;undirected;1
10;1534;undirected;1
11;9;undirected;1
11;10;undirected;2
11;12;undirected;1
11;166;undirected;1
11;224;undirected;1
11;225;undirected;1
11;299;undirected;1
11;357;undirected;1
11;373;undirected;1
11;533;undirected;1
11;534;undirected;1
11;621;undirected;1
11;917;undirected;1
11;1039;undirected;1
11;1315;undirected;1
11;1325;undirected;1
11;1631;undirected;1
12;10;undirected;1
12;22;undirected;1
12;539;undirected;1
