ID;Label
0;Malcolm X
1;National Lampoon's Animal House
2;Starman
3;House on Haunted Hill
4;Go
5;Basic
6;Chicago
7;Equilibrium
8;Rent
9;Salvador
10;Cloak & Dagger
11;Nashville
12;Manhattan
13;The War of the Worlds
14;Mortal Kombat
15;Nixon
16;Exiled: A Law & Order Movie
17;Blue Streak
18;The Big Chill
19;Air Force One
20;Hamlet
21;The Stepford Wives
22;The House of the Spirits
23;Jagged Edge
24;Mickey's Christmas Carol
25;Der Fuehrer's Face
26;Donald's Cousin Gus
27;Revenge of the Nerds IV: Nerds in Love
28;Revenge of the Nerds III: The Next Generation
29;Booty Call
30;A Kid in King Arthur's Court
31;Bonjour tristesse
32;Everyman's Feast
33;JFK
34;Identity
35;Heavy
36;Nobody's Fool
37;Constantine
38;She's Having a Baby
39;Who's Harry Crumb?
40;Ben-Hur
41;The Jazz Singer
42;Destination Moon
43;Double Indemnity
44;Harry Potter and the Order of the Phoenix
45;Harry Potter and the Half-Blood Prince
46;Harry Potter and the Philosopher's Stone
47;Harry Potter and the Chamber of Secrets
48;Harry Potter and the Goblet of Fire
49;Harry Potter and the Prisoner of Azkaban
50;Lifeforce
51;Othello
52;Faces
53;Someone Like You
54;Swordfish
55;Kate & Leopold
56;X-Men
57;X2
58;Spider-Man
59;Seabiscuit
60;Don's Plum
61;The Wizard
62;Quo Vadis
63;Three Comrades
64;Run
65;Shiva
66;Anjali
67;The Patriot
68;Zenon: Girl of the 21st Century
69;Micki + Maude
70;Arthur
71;10
72;Bedazzled
73;The Professionals
74;Batman
75;Contempt
76;Spider
77;Little Women
78;Stella
79;Topkapi
80;Queen Bee
81;Grand Hotel
82;Dead Men Don't Wear Plaid
83;Possessed
84;Delgo
85;Wing Commander
86;She's All That
87;Scooby-Doo 2: Monsters Unleashed
88;Scooby-Doo
89;There's Something About Mary
90;Medusa: Dare to Be Truthful
91;Cabin Boy
92;Groundhog Day
93;Room Service
94;A Night at the Opera
95;Saps at Sea
96;A Day at the Races
97;Animal Crackers
98;Monkey Business
99;Alice in Wonderland
100;Mr. Nanny
101;Mr. & Mrs. Smith
102;The Big House
103;Max
104;Uprising
105;Deep Impact
106;Spanish Fly
107;Birth
108;Silver City
109;Around the World in 80 Days
110;L'Auberge espagnole
111;You've Got Mail
112;Midway
113;Domino
114;The Cotton Club
115;Continental Divide
116;Jetsons: The Movie
117;Kronos
118;Thunderbirds
119;Underworld
120;25th Hour
121;Fat Albert
122;The Little Mermaid
123;Lady and the Tramp II: Scamp's Adventure
124;The Little Mermaid II: Return to the Sea
125;Witness
126;North
127;Jack
128;Ragtime
129;Santa's Slay
130;UHF
131;The Great Waltz
132;The Good Earth
133;Anaconda
134;XXX
135;Anchorman: The Legend of Ron Burgundy
136;Desperado
137;Heat
138;Ewoks: The Battle for Endor
139;Men in Black
140;How to Kill Your Neighbor's Dog
141;The Mask
142;Mystic River
143;Criminal Law
144;Apollo 13
145;Friday the 13th
146;Sleepers
147;Starting Over
148;Diner
149;Tremors
150;My Dog Skip
151;Balto
152;Chinatown
153;Paper Moon
154;Dodge City
155;Edge of Darkness
156;Happy Together
157;Hero
158;Cyclo
159;2046
160;Exodus
161;Greystoke - The Legend of Tarzan, Lord of the Apes
162;O Lucky Man!
163;Richard III
164;Battle of Britain
165;Rad
166;Popeye
167;Dreamscape
168;Forever Young
169;Mr. Nice Guy
170;Mighty Morphin' Power Rangers: The Movie
171;Little Nicky
172;Predator
173;The Birds
174;Marnie
175;Daylight
176;Brainstorm
177;Exorcist II: The Heretic
178;Audition
179;Brother
180;That Darn Cat!
181;Wolf
182;Madagascar
183;Apt Pupil
184;Rapunzel
185;Event Horizon
186;The Doors
187;Twilight Zone: The Movie
188;Airport '77
189;The Hitchhiker's Guide to the Galaxy
